"product","count","movieId","title","genres","my_rating"
597,148,597,"Pretty Woman (1990)","Comedy|Romance",0
367,146,367,"Mask, The (1994)","Action|Comedy|Crime|Fantasy",3
293,144,293,"Léon: The Professional (a.k.a. The Professional) (Léon) (1994)","Action|Crime|Drama|Thriller",0
595,143,595,"Beauty and the Beast (1991)","Animation|Children|Fantasy|Musical|Romance|IMAX",1
1193,143,1193,"One Flew Over the Cuckoo's Nest (1975)","Drama",3
587,142,587,"Ghost (1990)","Comedy|Drama|Fantasy|Romance|Thriller",2
736,141,736,"Twister (1996)","Action|Adventure|Romance|Thriller",3
6539,141,6539,"Pirates of the Caribbean: The Curse of the Black Pearl (2003)","Action|Adventure|Comedy|Fantasy",4
1221,140,1221,"Godfather: Part II, The (1974)","Crime|Drama",5
1527,140,1527,"Fifth Element, The (1997)","Action|Adventure|Comedy|Sci-Fi",4
1704,140,1704,"Good Will Hunting (1997)","Drama|Romance",5
2716,139,2716,"Ghostbusters (a.k.a. Ghost Busters) (1984)","Action|Comedy|Sci-Fi",3
1617,137,1617,"L.A. Confidential (1997)","Crime|Film-Noir|Mystery|Thriller",5
1073,136,1073,"Willy Wonka & the Chocolate Factory (1971)","Children|Comedy|Fantasy|Musical",2
2628,136,2628,"Star Wars: Episode I - The Phantom Menace (1999)","Action|Adventure|Sci-Fi",3
10,135,10,"GoldenEye (1995)","Action|Adventure|Thriller",4
1213,135,1213,"Goodfellas (1990)","Crime|Drama",4
349,134,349,"Clear and Present Danger (1994)","Action|Crime|Drama|Thriller",5
1206,134,1206,"Clockwork Orange, A (1971)","Crime|Drama|Sci-Fi|Thriller",0
1089,131,1089,"Reservoir Dogs (1992)","Crime|Mystery|Thriller",3
3793,130,3793,"X-Men (2000)","Action|Adventure|Sci-Fi",4
34,129,34,"Babe (1995)","Children|Drama",0
2918,128,2918,"Ferris Bueller's Day Off (1986)","Comedy",4
539,127,539,"Sleepless in Seattle (1993)","Comedy|Drama|Romance",1
58559,127,58559,"Dark Knight, The (2008)","Action|Crime|Drama|IMAX",5
924,126,924,"2001: A Space Odyssey (1968)","Adventure|Drama|Sci-Fi",4
357,125,357,"Four Weddings and a Funeral (1994)","Comedy|Romance",0
750,125,750,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)","Comedy|War",4
912,125,912,"Casablanca (1942)","Drama|Romance",0
586,124,586,"Home Alone (1990)","Children|Comedy",3
1393,124,1393,"Jerry Maguire (1996)","Drama|Romance",2
2997,124,2997,"Being John Malkovich (1999)","Comedy|Drama|Fantasy",0
208,123,208,"Waterworld (1995)","Action|Adventure|Sci-Fi",0
253,122,253,"Interview with the Vampire: The Vampire Chronicles (1994)","Drama|Horror",0
1682,122,1682,"Truman Show, The (1998)","Comedy|Drama|Sci-Fi",4
4963,119,4963,"Ocean's Eleven (2001)","Crime|Thriller",4
4973,119,4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","Comedy|Romance",0
111,118,111,"Taxi Driver (1976)","Crime|Drama|Thriller",0
1968,118,1968,"Breakfast Club, The (1985)","Comedy|Drama",2
2683,117,2683,"Austin Powers: The Spy Who Shagged Me (1999)","Action|Adventure|Comedy",4
6377,117,6377,"Finding Nemo (2003)","Adventure|Animation|Children|Comedy",2
